order_id,account_id,order_day,amount_inr,is_return
ORD000001,ACC00001,55,700.87,False
ORD000002,ACC00001,14,406.15,False
ORD000003,ACC00001,32,1172.8,False
ORD000004,ACC00001,37,534.11,False
ORD000005,ACC00001,40,990.49,False
ORD000006,ACC00001,7,690.83,False
ORD000007,ACC00002,19,498.2,False
ORD000008,ACC00002,40,694.74,False
ORD000009,ACC00002,30,1189.97,False
ORD000010,ACC00002,26,576.41,False
ORD000011,ACC00002,24,137.89,False
ORD000012,ACC00003,36,570.63,False
ORD000013,ACC00003,29,1881.09,False
ORD000014,ACC00003,56,104.11,False
ORD000015,ACC00003,50,1012.37,False
ORD000016,ACC00004,8,504.38,False
ORD000017,ACC00004,28,470.74,False
ORD000018,ACC00004,11,395.46,False
ORD000019,ACC00004,9,1318.64,False
ORD000020,ACC00004,7,1560.09,False
ORD000021,ACC00005,45,338.14,False
ORD000022,ACC00005,17,1514.84,False
ORD000023,ACC00006,45,2132.09,False
ORD000024,ACC00006,38,920.46,False
ORD000025,ACC00006,11,552.38,False
ORD000026,ACC00006,22,1366.84,False
ORD000027,ACC00006,38,414.76,False
ORD000028,ACC00006,57,606.39,False
ORD000029,ACC00007,27,1905.94,False
ORD000030,ACC00007,11,1332.93,False
ORD000031,ACC00007,56,1322.46,False
ORD000032,ACC00007,48,1507.05,False
ORD000033,ACC00007,30,735.56,False
ORD000034,ACC00007,52,546.11,False
ORD000035,ACC00007,46,1245.53,False
ORD000036,ACC00008,31,1259.27,True
ORD000037,ACC00008,26,1003.63,False
ORD000038,ACC00008,55,642.09,False
ORD000039,ACC00008,47,1732.22,False
ORD000040,ACC00008,57,462.51,True
ORD000041,ACC00008,16,1730.7,False
ORD000042,ACC00009,3,926.87,False
ORD000043,ACC00009,2,1275.84,False
ORD000044,ACC00009,48,667.06,False
ORD000045,ACC00010,34,153.81,True
ORD000046,ACC00010,20,1775.57,False
ORD000047,ACC00010,28,891.47,False
ORD000048,ACC00010,33,1089.37,False
ORD000049,ACC00010,13,1135.55,False
ORD000050,ACC00010,18,679.71,False
ORD000051,ACC00010,37,344.85,True
ORD000052,ACC00010,16,1088.0,True
ORD000053,ACC00011,45,662.79,False
ORD000054,ACC00011,15,563.65,False
ORD000055,ACC00011,51,425.49,False
ORD000056,ACC00012,59,310.75,False
ORD000057,ACC00012,10,2107.39,False
ORD000058,ACC00012,23,1359.46,False
ORD000059,ACC00012,50,182.94,False
ORD000060,ACC00012,28,2087.57,False
ORD000061,ACC00013,42,560.73,True
ORD000062,ACC00013,39,1422.19,False
ORD000063,ACC00013,15,1534.72,False
ORD000064,ACC00013,42,1596.11,False
ORD000065,ACC00013,32,489.89,False
ORD000066,ACC00013,12,251.53,False
ORD000067,ACC00013,6,466.37,False
ORD000068,ACC00013,19,1494.08,True
ORD000069,ACC00013,1,619.72,True
ORD000070,ACC00013,42,738.39,True
ORD000071,ACC00014,0,937.67,False
ORD000072,ACC00014,31,1513.66,False
ORD000073,ACC00014,38,553.78,False
ORD000074,ACC00014,14,673.47,False
ORD000075,ACC00014,29,299.37,False
ORD000076,ACC00015,45,503.08,False
ORD000077,ACC00015,34,1331.41,True
ORD000078,ACC00015,5,170.69,False
ORD000079,ACC00015,8,528.47,False
ORD000080,ACC00015,44,1014.09,False
ORD000081,ACC00015,52,299.88,False
ORD000082,ACC00015,49,2369.68,False
ORD000083,ACC00016,25,1075.35,False
ORD000084,ACC00016,45,1523.69,False
ORD000085,ACC00016,23,2170.4,False
ORD000086,ACC00016,16,4568.54,False
ORD000087,ACC00017,9,258.13,False
ORD000088,ACC00017,56,361.68,False
ORD000089,ACC00017,6,775.74,False
ORD000090,ACC00017,14,2772.06,False
ORD000091,ACC00017,56,1371.32,False
ORD000092,ACC00017,41,3039.8,False
ORD000093,ACC00017,38,1118.07,False
ORD000094,ACC00017,24,456.84,False
ORD000095,ACC00017,33,1478.02,False
ORD000096,ACC00018,5,509.54,False
ORD000097,ACC00018,51,152.79,False
ORD000098,ACC00018,37,45.39,False
ORD000099,ACC00019,0,349.79,False
ORD000100,ACC00019,57,2209.39,False
ORD000101,ACC00019,27,333.4,False
ORD000102,ACC00019,44,1281.23,False
ORD000103,ACC00019,26,749.04,False
ORD000104,ACC00019,54,593.18,False
ORD000105,ACC00019,12,366.75,True
ORD000106,ACC00020,41,493.25,False
ORD000107,ACC00020,39,232.19,False
ORD000108,ACC00020,26,1015.6,False
ORD000109,ACC00021,16,1050.43,True
ORD000110,ACC00021,23,749.15,False
ORD000111,ACC00021,6,124.88,True
ORD000112,ACC00021,46,293.83,False
ORD000113,ACC00021,9,265.49,False
ORD000114,ACC00021,22,151.06,False
ORD000115,ACC00022,24,617.47,False
ORD000116,ACC00022,28,2299.33,True
ORD000117,ACC00022,41,3556.17,False
ORD000118,ACC00022,32,857.83,False
ORD000119,ACC00022,3,127.61,True
ORD000120,ACC00023,23,444.37,False
ORD000121,ACC00023,47,814.39,False
ORD000122,ACC00023,44,695.26,False
ORD000123,ACC00023,59,679.59,False
ORD000124,ACC00024,32,310.65,False
ORD000125,ACC00024,0,606.05,False
ORD000126,ACC00024,19,531.39,False
ORD000127,ACC00024,6,590.98,False
ORD000128,ACC00024,6,618.96,False
ORD000129,ACC00024,9,221.46,False
ORD000130,ACC00024,32,314.97,False
ORD000131,ACC00025,41,2264.44,False
ORD000132,ACC00025,22,1007.29,False
ORD000133,ACC00025,49,1094.63,False
ORD000134,ACC00026,11,500.89,False
ORD000135,ACC00026,32,1131.97,False
ORD000136,ACC00026,57,424.6,False
ORD000137,ACC00026,45,1020.89,False
ORD000138,ACC00026,25,2217.95,False
ORD000139,ACC00026,58,324.17,False
ORD000140,ACC00026,16,318.06,False
ORD000141,ACC00027,53,262.52,False
ORD000142,ACC00027,51,736.17,False
ORD000143,ACC00028,45,1427.01,False
ORD000144,ACC00028,52,44.91,False
ORD000145,ACC00028,9,95.67,False
ORD000146,ACC00028,48,517.28,False
ORD000147,ACC00028,58,1051.76,False
ORD000148,ACC00028,2,2076.18,False
ORD000149,ACC00029,37,719.9,False
ORD000150,ACC00029,46,410.0,False
ORD000151,ACC00029,44,632.85,False
ORD000152,ACC00029,25,1020.63,False
ORD000153,ACC00029,27,156.5,False
ORD000154,ACC00029,59,320.87,False
ORD000155,ACC00030,47,229.41,True
ORD000156,ACC00030,16,1041.59,False
ORD000157,ACC00030,19,310.33,False
ORD000158,ACC00030,40,560.04,False
ORD000159,ACC00030,0,566.04,False
ORD000160,ACC00030,21,751.0,False
ORD000161,ACC00031,10,192.18,False
ORD000162,ACC00031,6,1104.85,False
ORD000163,ACC00031,44,185.42,False
ORD000164,ACC00031,47,726.31,False
ORD000165,ACC00031,18,529.03,False
ORD000166,ACC00031,17,597.83,False
ORD000167,ACC00032,31,339.97,False
ORD000168,ACC00032,36,136.16,False
ORD000169,ACC00033,46,1988.03,False
ORD000170,ACC00033,12,918.95,False
ORD000171,ACC00033,9,329.86,False
ORD000172,ACC00033,51,1003.95,False
ORD000173,ACC00034,56,787.17,False
ORD000174,ACC00034,39,1460.92,False
ORD000175,ACC00034,4,694.27,True
ORD000176,ACC00034,35,277.02,True
ORD000177,ACC00034,37,3105.02,True
ORD000178,ACC00035,31,974.91,False
ORD000179,ACC00035,36,158.01,False
ORD000180,ACC00035,28,511.71,False
ORD000181,ACC00035,44,1813.05,False
ORD000182,ACC00035,55,596.19,False
ORD000183,ACC00036,51,941.04,False
ORD000184,ACC00036,2,206.47,True
ORD000185,ACC00036,53,1019.03,False
ORD000186,ACC00036,15,1392.44,False
ORD000187,ACC00036,4,1828.49,True
ORD000188,ACC00037,47,345.91,False
ORD000189,ACC00037,17,715.68,False
ORD000190,ACC00037,24,632.36,False
ORD000191,ACC00037,24,681.89,False
ORD000192,ACC00037,1,251.29,False
ORD000193,ACC00038,32,799.27,False
ORD000194,ACC00038,11,150.23,False
ORD000195,ACC00038,21,2673.5,False
ORD000196,ACC00038,2,1390.08,False
ORD000197,ACC00039,48,676.91,False
ORD000198,ACC00039,4,844.11,False
ORD000199,ACC00039,46,452.65,False
ORD000200,ACC00039,22,1038.56,False
ORD000201,ACC00039,44,1469.88,False
ORD000202,ACC00040,41,704.72,False
ORD000203,ACC00040,11,1044.93,True
ORD000204,ACC00040,32,587.98,False
ORD000205,ACC00040,59,1598.72,False
ORD000206,ACC00040,5,194.61,False
ORD000207,ACC00041,12,2713.28,False
ORD000208,ACC00041,19,128.57,False
ORD000209,ACC00041,43,623.12,False
ORD000210,ACC00041,7,1354.39,False
